,Media Sources,Tweet Polarity,Tweets Ago
434,@nytimes,0.0,35
435,@nytimes,-0.4404,36
436,@nytimes,0.0772,37
437,@nytimes,0.34,38
438,@nytimes,0.128,39
439,@nytimes,-0.3182,40
440,@nytimes,0.5267,41
441,@nytimes,0.4215,42
442,@nytimes,0.0,43
443,@nytimes,0.0,44
444,@nytimes,0.0258,45
445,@nytimes,0.0,46
446,@nytimes,0.7096,47
447,@nytimes,-0.5106,48
448,@nytimes,-0.3182,49
449,@nytimes,-0.4019,50
450,@nytimes,0.0,51
451,@nytimes,0.128,52
452,@nytimes,-0.1779,53
453,@nytimes,0.0,54
454,@nytimes,0.4588,55
455,@nytimes,0.3384,56
456,@nytimes,-0.7845,57
457,@nytimes,-0.5267,58
458,@nytimes,0.7579,59
459,@nytimes,0.0,60
460,@nytimes,0.3182,61
461,@nytimes,0.4019,62
462,@nytimes,0.0,63
463,@nytimes,-0.3182,64
464,@nytimes,-0.296,65
465,@nytimes,0.0,66
466,@nytimes,0.0,67
467,@nytimes,-0.8221,68
468,@nytimes,0.7096,69
469,@nytimes,-0.5994,70
470,@nytimes,0.3612,71
471,@nytimes,-0.6705,72
472,@nytimes,-0.3612,73
473,@nytimes,0.4767,74
474,@nytimes,-0.1263,75
475,@nytimes,-0.1027,76
476,@nytimes,-0.6486,77
477,@nytimes,0.5994,78
478,@nytimes,-0.6705,79
479,@nytimes,0.34,80
480,@nytimes,0.5411,81
481,@nytimes,0.0,82
482,@nytimes,-0.2263,83
483,@nytimes,-0.3818,84
484,@nytimes,0.0516,85
485,@nytimes,0.4767,86
486,@nytimes,-0.4019,87
487,@nytimes,0.0,88
488,@nytimes,-0.5859,89
489,@nytimes,-0.7906,90
490,@nytimes,-0.2023,91
491,@nytimes,-0.4019,92
492,@nytimes,-0.7346,93
493,@nytimes,0.0,94
494,@nytimes,-0.0258,95
495,@nytimes,-0.4939,96
496,@nytimes,-0.8519,97
497,@nytimes,0.0,98
498,@nytimes,-0.1511,99
499,@nytimes,0.7096,100
